番号,REGゲーム数,REG枚数,ATゲーム数,AT枚数
999,648,0,674,1953
1000,99,0,192,556
1001,246,0,78,228
1002,97,0,53,155
1003,372,0,92,272
1004,72,0,45,131
1005,561,0,0,0
1006,192,0,85,254
1007,74,0,212,615
1008,778,0,0,0
1009,505,0,246,722
1010,779,0,0,0
1011,505,0,194,574
1012,778,0,19,51
1013,460,0,0,0
1014,104,0,0,0
1015,190,0,108,319
1016,84,0,0,0
1017,49,0,179,521
1018,98,0,98,290
1019,368,0,17,45
1020,311,0,12,31
1021,245,0,0,0
1022,156,0,22,62
1023,189,0,0,0
1024,170,0,52,151
1025,49,0,76,218
1026,261,0,0,0
1027,470,0,86,246
1028,80,0,0,0
1029,351,0,106,309
1030,205,0,0,0
1031,41,0,0,0
1032,38,0,21,59
1033,573,0,0,0
1034,180,0,87,260
1035,251,0,0,0
1036,502,0,93,278
1037,242,0,0,0
1038,440,0,158,459
1039,253,0,120,344
1040,778,0,194,563
1041,340,0,0,0
1042,778,0,186,535
1043,424,0,21,57
1044,220,0,0,0
1045,118,0,55,160
1046,370,0,1762,5026
1047,778,0,156,452
1048,282,0,119,347
1049,778,0,964,2735
1050,778,0,0,0
1051,264,0,0,0
1052,242,0,432,1259
1053,394,0,0,0
1054,762,0,0,0
1055,131,0,213,626
1056,61,0,0,0
1057,778,0,0,0
1058,318,0,330,960
1059,779,0,0,0
1060,505,0,195,575
1061,778,0,82,236
1062,778,0,1384,3918
1063,778,0,122,355
1064,93,0,0,0
1065,285,0,15,41
1066,183,0,84,248
1067,244,0,0,0
1068,232,0,0,0
1069,80,0,0,0
1070,75,0,0,0
1071,125,0,208,607
1072,213,0,301,873
1073,466,0,244,706
1074,96,0,0,0
1075,404,0,0,0
1076,395,0,22,62
1077,251,0,0,0
1078,109,0,120,347
1079,778,0,107,312
1080,145,0,134,384
1081,274,0,0,0
1082,771,0,340,986
1083,135,0,192,567
1084,662,0,84,242
1085,268,0,16,44
1086,231,0,0,0
1087,114,0,112,328
1088,305,0,1502,4294
1089,67,0,0,0
1090,770,0,0,0
1091,109,0,218,633
1092,390,0,0,0
1093,779,0,64,186
1094,286,0,64,183
1095,427,0,121,354
1096,140,0,238,690
1097,784,0,108,315
1098,312,0,135,401
1099,780,0,52,138
1100,778,0,0,0
1101,505,0,214,624
1102,371,0,148,428
1103,96,0,125,364
1104,325,0,86,248
1105,96,0,0,0
1106,150,0,107,312
1107,96,0,220,628
1108,179,0,0,0
1109,779,0,88,264
1110,227,0,0,0
1111,224,0,79,233
1112,183,0,254,742
1113,172,0,15,41
1114,312,0,68,195
1115,279,0,997,2783
1116,98,0,46,133
1117,95,0,50,146
1118,96,0,256,750
1119,99,0,22,62
1120,98,0,0,0
1121,78,0,0,0
1122,228,0,13,33
1123,105,0,0,0
1124,510,0,0,0
1125,669,0,1501,4310
1126,76,0,0,0
1127,13,0,54,157
1128,96,0,80,230
1129,98,0,83,244
1130,752,0,383,1127
1131,778,0,70,199
1132,97,0,0,0
1133,237,0,0,0
1134,139,0,51,149
1135,355,0,0,0
1136,399,0,180,534
1137,251,0,79,227
1138,288,0,0,0
1139,429,0,0,0
1140,567,0,98,290
1141,544,0,187,539
1142,334,0,93,263
1143,96,0,94,267
1144,99,0,0,0
1145,248,0,187,541
1146,717,0,24,67
1147,236,0,372,1076
1148,778,0,0,0
1149,418,0,1910,5411
1150,97,0,114,333
1151,354,0,0,0
1152,779,0,20,54
1153,106,0,0,0
1154,61,0,285,821
1155,96,0,386,1120
1156,359,0,0,0
1157,778,0,0,0
1158,147,0,86,257
1159,755,0,78,234
1160,95,0,0,0
1161,116,0,206,595
1162,636,0,544,1564
1163,97,0,24,67
1164,294,0,0,0
1165,459,0,884,2513
1166,36,0,0,0
1167,61,0,20,55
1168,752,0,1131,3247
1169,96,0,275,799
1170,99,0,0,0
1171,256,0,0,0
1172,108,0,87,251
1173,76,0,0,0
1174,14,0,0,0
1175,778,0,0,0
1176,417,0,308,901
1177,682,0,318,929
1178,131,0,232,676
1179,415,0,89,267
1180,486,0,18,50
1181,697,0,14,38
1182,228,0,114,328
1183,308,0,88,265
1184,146,0,104,303
1185,336,0,0,0
1186,400,0,71,203
1187,767,0,77,219
1188,305,0,324,935
1189,476,0,67,189
1190,602,0,203,589
1191,54,0,89,258
1192,567,0,82,242
1193,71,0,82,240
1194,752,0,77,231
1195,229,0,87,253
1196,551,0,0,0
1197,536,0,0,0
1198,197,0,441,1291
1199,358,0,0,0
1200,778,0,0,0
1201,150,0,238,694
1202,60,0,42,122
1203,58,0,142,413
1204,232,0,114,332
1205,280,0,0,0
1206,520,0,0,0
1207,484,0,368,1082
1208,95,0,118,345
1209,105,0,0,0
1210,445,0,1294,3675
1211,349,0,15,41
1212,709,0,0,0
1213,44,0,145,423
1214,268,0,79,226
1215,240,0,0,0
1216,171,0,72,205
1217,99,0,90,252
1218,130,0,471,1363
1219,450,0,0,0
1220,393,0,168,484
1221,144,0,0,0
1222,119,0,112,332
1223,778,0,2258,6476
1224,369,0,464,1348
1225,51,0,134,382
1226,233,0,15,39
1227,752,0,103,310
1228,46,0,75,221
1229,34,0,171,504
1230,133,0,486,1419
1231,288,0,112,332
1232,778,0,302,870
1233,95,0,205,590
1234,639,0,76,218
1235,100,0,657,1914
1236,194,0,57,161
1237,273,0,0,0
1238,376,0,1921,5479
1239,419,0,236,687
1240,95,0,21,57
1241,164,0,0,0
1242,130,0,250,724
1243,96,0,0,0
1244,72,0,0,0
1245,91,0,0,0
1246,779,0,301,878
1247,206,0,0,0
1248,43,0,0,0
1249,305,0,89,257
1250,204,0,231,670
1251,157,0,64,182
1252,109,0,0,0
1253,685,0,89,255
1254,98,0,69,202
1255,97,0,168,491
1256,98,0,178,523
1257,95,0,165,475
1258,249,0,17,46
1259,756,0,365,1060
1260,98,0,192,555
1261,205,0,0,0
1262,554,0,18,48
1263,136,0,0,0
1264,408,0,151,436
1265,456,0,59,172
1266,105,0,80,232
1267,319,0,0,0
1268,395,0,0,0
1269,95,0,80,228
1270,97,0,0,0
1271,248,0,0,0
1272,286,0,1144,3243
1273,244,0,168,489
1274,72,0,129,378
1275,500,0,99,287
1276,388,0,0,0
1277,566,0,131,377
1278,235,0,0,0
1279,283,0,128,370
1280,97,0,14,36
1281,752,0,104,308
1282,95,0,89,257
1283,249,0,18,49
1284,38,0,0,0
1285,715,0,158,465
1286,215,0,0,0
1287,232,0,0,0
1288,779,0,0,0
1289,60,0,183,542
1290,450,0,0,0
1291,48,0,0,0
1292,453,0,109,318
1293,778,0,119,346
1294,778,0,117,341
1295,778,0,83,243
1296,752,0,96,288
1297,369,0,0,0
1298,303,0,0,0
1299,498,0,0,0
1300,116,0,180,534
1301,779,0,343,1002
1302,242,0,0,0
1303,284,0,0,0
1304,410,0,231,646
1305,778,0,137,395
1306,369,0,132,376
1307,96,0,1512,4334
1308,37,0,82,235
1309,99,0,1766,5063
1310,667,0,3,4
1311,86,0,81,233
1312,531,0,0,0
1313,513,0,0,0
1314,241,0,80,241
1315,310,0,624,1817
1316,95,0,0,0
1317,201,0,77,221
1318,97,0,524,1518
1319,494,0,116,338
1320,217,0,0,0
1321,45,0,146,423
1322,167,0,24,66
1323,259,0,285,823
1324,141,0,0,0
1325,122,0,52,151
1326,451,0,0,0
1327,42,0,0,0
1328,261,0,87,262
1329,235,0,0,0
1330,518,0,83,248
1331,387,0,0,0
1332,366,0,97,292
1333,480,0,0,0
1334,576,0,0,0
1335,229,0,178,526
1336,160,0,109,318
1337,155,0,140,399
1338,55,0,0,0
