REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別
172,0,5,10,0,0,0,0,0,0,0
752,0,94,281,0,0,0,0,0,0,0
78,0,330,954,0,0,0,0,0,0,0
50,0,84,241,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0
435,0,249,727,0,0,0,0,0,0,0
533,0,269,782,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
549,0,455,1320,0,0,0,0,0,0,0
97,0,134,397,0,0,0,0,0,0,0
482,0,14,36,0,0,0,0,0,0,0
96,0,147,431,0,0,0,0,0,0,0
243,0,970,2794,0,0,0,0,0,0,0
97,0,21,57,0,0,0,0,0,0,0
98,0,16,42,0,0,0,0,0,0,0
84,0,18,49,0,0,0,0,0,0,0
96,0,238,693,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0
158,0,187,552,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0
467,0,143,415,0,0,0,0,0,0,0
752,0,192,560,0,0,0,0,0,0,0
111,0,51,147,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
290,0,99,285,0,0,0,0,0,0,0
249,0,82,234,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
309,0,131,378,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0
613,0,92,261,0,0,0,0,0,0,0
118,0,151,438,0,0,0,0,0,0,0
778,0,28,79,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
44,0,223,647,0,0,0,0,0,0,0
99,0,148,430,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0
126,0,50,144,0,0,0,0,0,0,0
220,0,93,261,0,0,0,0,0,0,0
355,0,86,258,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0,0
205,0,96,289,0,0,0,0,0,0,0
481,0,15,41,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0
145,0,96,280,0,0,0,0,0,0,0
99,0,134,387,0,0,0,0,0,0,0
99,0,89,266,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
